Order_ID,Order_Date,Day_Name,Order_Time,City,Store,Customer_ID,Customer_Type,Gender,Age,Product_Category,Product_Name,Quantity,Unit_Price,Discount,Payment_Method,Employee,Channel,Revenue
ORD500001,2026-06-11,Thursday,21:30,Antalya,Muratpaşa,CUST10869,New,Female,20.0,Ofis,Defter,1,179,0,PayPal,EMP_08,Web,179.0
ORD500002,2026-06-21,Sunday,18:00,Bursa,Nilüfer,CUST10211,New,Male,52.0,Elektronik,Powerbank,2,899,15,Wallet,EMP_04,Mobile,1528.3
ORD500003,2026-06-18,Thursday,19:45,İstanbul,Kadıköy,CUST10499,New,Male,47.0,Spor,Koşu Çantası,1,499,0,Bank Transfer,EMP_17,Mobile,499.0
ORD500004,2026-06-16,Tuesday,20:55,İzmir,Bornova,CUST11792,Returning,Male,44.0,Elektronik,Kablosuz Mouse,1,499,0,Card,EMP_23,Mobile,499.0
ORD500005,2026-06-12,Friday,18:45,Konya,Selçuklu,CUST11369,Returning,Female,62.0,Ofis,Masa Düzenleyici,1,399,10,PayPal,EMP_15,Web,359.1
ORD500006,2026-06-12,Friday,13:05,İzmir,Bornova,CUST10280,Returning,Male,49.0,Ofis,Kalem Seti,2,229,0,PayPal,EMP_23,Web,458.0
ORD500007,2026-06-14,Sunday,21:50,Eskişehir,Odunpazarı,CUST10756,Returning,Female,55.0,Elektronik,Powerbank,1,899,10,Unknown,EMP_23,Mobile,809.1
ORD500008,2026-06-28,Sunday,17:45,Antalya,Muratpaşa,CUST10225,Returning,Female,43.0,Spor,Koşu Çantası,1,499,0,Card,EMP_04,Mobile,499.0
ORD500009,2026-06-01,Monday,18:40,İstanbul,Şişli,CUST10999,Returning,Male,34.0,Kitap,Veri Analizi 101,3,549,5,Wallet,EMP_16,Web,1564.65
ORD500010,2026-06-10,Wednesday,12:05,Konya,Selçuklu,CUST11316,New,Male,41.0,Spor,Dambıl Seti,1,1899,0,Card,EMP_17,Web,1899.0
ORD500011,2026-06-12,Friday,20:25,Konya,Selçuklu,CUST11497,New,Female,33.0,Kitap,Finans,3,459,20,Bank Transfer,EMP_26,Mobile,1101.6
ORD500012,2026-06-09,Tuesday,17:15,Adana,Seyhan,CUST11843,New,Male,32.0,Spor,Pilates Bandı,4,349,0,Wallet,EMP_30,Mobile,1396.0
